TAZ_O,year,Avg_own_payt,Avg_own_paytinf,Avg_val_dwel,Avg_val_dwelinf,Avg_rent,Avg_rentinf,Avg_HHinc,Avg_HHincinf,Med_HHincinf,Dwel,Sgl_det,Apt_5plus,Sgl_att,Owned,Rented
2088,2011,1335.8235294117646,1426.6595294117647,467518.4705882353,499309.72658823535,536.9411764705883,573.4531764705883,133378.4705882353,142448.2065882353,109179.504,1390.0,856.0,157.0,377.0,1049.0,323.0
2088,2016,1574.8235294117646,1574.8235294117646,657658.1176470588,657658.1176470588,774.1176470588235,774.1176470588235,152900.17647058822,152900.17647058822,113173.0,1409.0,849.0,162.0,387.0,1045.0,348.0
2088,2086,634.0,1237.251,113269.58333333333,221045.59187499998,547.0,1067.4705,51280.916666666664,100074.708875,84146.7285,1068.0,653.0,2.0,409.0,722.0,341.0
2088,2091,1047.9166666666667,1624.1660416666668,272195.25,421875.417975,670.6666666666666,1039.4662666666666,82657.41666666667,128110.73009166667,109894.10960000001,1135.0,702.0,148.0,298.0,786.0,354.0
2088,2096,1119.7,1618.63832,218905.2,316449.35712,998.1,1442.85336,84882.7,122706.43112,100018.1728,1222.0,758.0,164.0,299.0,817.0,410.0
2089,2001,1171.037037037037,1529.7256814814814,203815.40740740742,266244.06669629633,318.5925925925926,416.17750370370374,91751.5925925926,119855.10540370371,105794.76954444444,4329.0,2418.0,330.0,1554.0,3684.0,628.0
2089,2006,1267.892857142857,1495.479625,294367.71428571426,347206.719,284.9642857142857,336.11537500000003,99562.78571428571,117434.30575,106031.1525,4368.0,2426.0,545.0,1424.0,3882.0,477.0
2089,2011,1359.3076923076924,1451.7406153846155,377059.1538461539,402699.17630769237,376.88461538461536,402.5127692307692,114239.26923076923,122007.53953846155,108070.92000000001,4326.0,2400.0,538.0,1378.0,3848.0,425.0
2089,2016,1515.0384615384614,1515.0384615384614,578522.1923076923,578522.1923076923,273.0,273.0,116710.0,116710.0,108207.0,4326.0,2395.0,533.0,1407.0,3856.0,536.0
2089,2086,772.0,1506.558,107835.16666666667,210440.32775,547.0,1067.4705,48098.22222222222,93863.68066666667,91289.2185,2610.0,1447.0,172.0,989.0,2203.0,406.0
